#,作者,账号,时间,原文,回复,转发,点赞,浏览,链接
1,Tibo,@thsottiaux,2026-04-06T03:38:20.000Z,Codex is for wizards,85,21,478,18931,https://x.com/thsottiaux/status/2040997506927284654
210,OpenArt,@openart_ai,2026-04-06T23:57:13.000Z,"Recraft V4 is now on OpenArt.

→ Cinematic photorealism 
→ Precise prompt accuracy 
→ Brand-consistent outputs 
→ Typography-ready visuals",6,8,24,1523,https://x.com/openart_ai/status/2041304248768663562
211,OpenArt,@openart_ai,2026-04-06T23:57:13.000Z,Go try it now:,,,1,368,https://x.com/openart_ai/status/2041304249997648222
212,HeyGen,@HeyGen,2026-04-06T23:20:29.000Z,,6,18,133,6024,https://x.com/HeyGen/status/2041295005462245471
213,Leonardo.Ai,@LeonardoAi,2026-04-06T23:03:32.000Z,"One click. Endless creative possibilities. See how 
@azed_ai
 uses Blueprints in her workflow",2,2,9,930,https://x.com/LeonardoAi/status/2041290740618416570
214,Brex,@brexHQ,2026-04-06T23:02:01.000Z,was insanely locked in at the office today,,,2,316,https://x.com/brexHQ/status/2041290358659924443
215,vast.ai,@vast_ai,2026-04-06T23:00:07.000Z,"Only 13 H200 GPUs left on Vast at $2.32/hr.
80GB HBM3e, ideal for llm training.
Prices rise as supply tightens.",,,4,207,https://x.com/vast_ai/status/2041289879057731660
216,Cloudflare,@Cloudflare,2026-04-06T22:12:56.000Z,,,,9,3179,https://x.com/Cloudflare/status/2041278005444825298
217,Notion,@NotionHQ,2026-04-06T21:59:10.000Z,"Custom Agents  
@SlackHQ
 

Connect your Custom Agent to Slack to monitor channels for requests, extract action items from threads, and route messages to the right workflows automatically.",2,13,117,12659,https://x.com/NotionHQ/status/2041274543470448724
218,Product Hunt,@ProductHunt,2026-04-06T13:00:24.000Z,gm legends. what ya shipping this week? drop it in the replies,206,3,107,13156,https://x.com/ProductHunt/status/2041138957199851538
219,Product Hunt,@ProductHunt,2026-04-06T21:41:55.000Z,"Find your next favorite product minus the doomscrolling. 

Everyday our newsletter surfaces the coolest launches from the coolest makers in AI, Productivity, Dev tools, and more",2,,1,1607,https://x.com/ProductHunt/status/2041270200948199769
220,Cloudflare,@Cloudflare,2026-04-06T21:05:03.000Z,"Cloudflare Organizations is now in public beta, introducing a new management layer for enterprise customers with multiple accounts.",4,9,114,8967,https://x.com/Cloudflare/status/2041260922224738565
221,Cursor,@cursor_ai,2026-04-06T21:03:58.000Z,"We rebuilt how MoE models generate tokens on Blackwell GPUs, resulting in 1.84x faster inference and more accurate outputs.

These improvements directly contribute to how we train Composer, allowing us to ship improved versions of the model more often.",31,58,611,43675,https://x.com/cursor_ai/status/2041260649267986643
222,Cursor,@cursor_ai,2026-04-06T21:03:58.000Z,Read about our work on warp decode:,1,10,47,14209,https://x.com/cursor_ai/status/2041260651746848998
223,Brace,@BraceSproul,2026-04-06T20:58:33.000Z,"Very excited to talk about file systems in agents at the 
@AICouncilConf
 this May!

Grab tickets now before they sell out:",2,5,16,4873,https://x.com/BraceSproul/status/2041259285305590052
224,ayman,@ayman_web3,2026-04-06T19:08:43.000Z,"I went from 1M+ impressions to shipping my first product

2 weeks ago I vibe coded my first product
> 50K+ impressions 
> 5000+ users
> 1000+ captions generated
> Selected for Bags Hackathon

Now I'm applying for VibeCon",17,6,67,1964,https://x.com/ayman_web3/status/2041231648566681677
225,Adi,@AdiFlips,2026-04-05T16:13:37.000Z,"Hey 
@emergentlabs
 this is my submission for #vibecon round 2!
A bit about me:

- IIT Guwahati engineer
- Started my first business at 14 with Rs 5,000
- Drove 100M+ impressions running crypto growth for 20+ founders
- Built prediction market data infra across Polymarket and",40,4,79,13082,https://x.com/AdiFlips/status/2040825195460792693
226,noah,@noahsolomon,2026-04-06T20:24:12.000Z,"Some updates to fal Sandbox coming!

Dynamic sized media, advanced+simple input area, trending/latest/fast/sota model groups, simpler ui",1,4,23,1685,https://x.com/noahsolomon/status/2041250643185475699
227,0xngmi,@0xngmi,2026-04-06T20:12:06.000Z,"One of the best ways to use LlamaAI is to explain a trade idea and ask it to highlight which risks it has

This is the output for ""what do you think about a long AERO short UNI trade fundamentally?""

Finds recurring price spikes that could blow up short, short term catalysts...",9,11,107,7591,https://x.com/0xngmi/status/2041247597294129590
228,Rajiv Ayyangar,@rajivayyangar,2026-04-06T19:05:59.000Z,"Something new coming on Product Hunt

If you haven't launched publicly yet, and are thinking about launching, target this Thursday (submit by wednesday midnight PST). It's going to be a special day. 

Stay tuned.",7,4,31,3745,https://x.com/rajivayyangar/status/2041230960868651151
229,Product Hunt,@ProductHunt,2026-04-06T20:04:30.000Z,big announcement tomorrow,9,4,29,3407,https://x.com/ProductHunt/status/2041245684737679550
230,Replit ⠕,@Replit,2026-04-06T20:04:26.000Z,Find your next 100 customers with Replit!,8,16,173,25629,https://x.com/Replit/status/2041245668711551296
231,Morphic,@morphic,2026-04-06T19:57:31.000Z,"Introducing Workflows.

There is a workflow for everything: 
https://
morphic.com/workflows",1,2,15,769,https://x.com/morphic/status/2041243928322773318
232,Brex,@brexHQ,2026-04-06T19:51:48.000Z,consider the space heavily watched,1,2,22,4271,https://x.com/brexHQ/status/2041242487596163116
233,Creatify AI,@Creatify_AI,2026-04-06T19:38:53.000Z,"Wan 2.7 is live in Creatify!

40% OFF for a limited time.

This is the lowest price point we've offered for a next gen model, and the window closes soon.

> Feed 9 images into a 3×3 grid
> Get one high quality cohesive video ad.
> Multi reference control
> Native 1080p -",1,3,8,203,https://x.com/Creatify_AI/status/2041239237513883735
234,HeyGen,@HeyGen,2026-04-06T19:35:40.000Z,"You've seen what Seedance can do inside HeyGen.

Now learn how to actually use it.

We're breaking down prompts, workflows, and how to get the best results, live.

This is how to hit the ground running when you get access.",12,5,66,2381,https://x.com/HeyGen/status/2041238430211055825
235,Akool Inc,@AkoolInc,2026-04-06T19:30:14.000Z,"Which model handles motion better?
Which one delivers more realistic physics?
And which actually holds up under stress tests?

Join our upcoming webinar as we put Seedance 2.0 vs Kling 3 head-to-head and break down the results. 

Seedance 2.0 vs Kling 3: Physics, Realism, and",,18,5,6925,https://x.com/AkoolInc/status/2041237062414713223
236,Cloudflare,@Cloudflare,2026-04-06T19:29:32.000Z,"96% of WordPress security issues come from plugins.
EmDash, a new CMS built on Astro, runs plugins in sandboxed Worker isolates instead.
Matt “TK” Taylor and Matt Kane explain how it works.

Full episode + subscribe →

https://
ThisWeekinNET.com",9,8,80,7498,https://x.com/Cloudflare/status/2041236883556925548
237,LangChain,@LangChain,2026-04-06T19:26:04.000Z,"Introducing Cost Alerting in LangSmith 

More and more agents are making it to production, and costs are increasing dramatically.

Use LangSmith to set configurable alerts on total cost, so you know right away when your agents are spending more than they should.

Docs:",5,8,23,7857,https://x.com/LangChain/status/2041236011439771648
238,Auth0,@auth0,2026-04-06T16:29:01.000Z,"RAG without auth is a data leak waiting to happen 
FGA + 
@llama_index
 keeps every document in check.

Read the blog",,4,6,1391,https://x.com/auth0/status/2041191456778461434
239,Dream Lab LA,@DreamLabLA,2026-04-06T18:30:44.000Z,"Last Day. The presence surviving inside the transformation. 

Made with 
@LumaLabsAI
 Uni-1 x Ray3.14
Trailer made by: Keith Paciello",1,4,25,3161,https://x.com/DreamLabLA/status/2041222087470383569
240,Akool Inc,@AkoolInc,2026-04-06T18:15:37.000Z,"“Where’s your homework?”
“My dog ate it.”

Sounds like the oldest excuse in the book…

But what if you actually had the video to prove it? 

Now imagine showing your teacher a full recording: your dog walking over, grabbing your homework, and running away… perfectly captured.",10,23,74,907256,https://x.com/AkoolInc/status/2041218285614531031
241,OpenArt,@openart_ai,2026-04-06T18:11:02.000Z,"Everything you need to create — in one place.

Images. Video. 3D Worlds. Characters. Editing.

OpenArt Suite.
Built for how creation actually works.

Try now: 
https://
openart.ai/suite/home",11,10,41,1847,https://x.com/openart_ai/status/2041217129194852402
242,Emergent,@emergentlabs,2026-04-06T18:09:28.000Z,"RT 
@ayazdotai
: Made it to the top 300 builders in India. 
@emergentlabs
  
@LightspeedIndia
 

See you at the VibeCon!


@ssraj222
 
@wasimonearth
…",,1,,96,https://x.com/emergentlabs/status/2041216736981361037
243,Soumik Baksi,@SoumikBaksi,2026-04-06T17:56:01.000Z,"Made it to the finals of #Vibecon by 
@emergentlabs
 
@ycombinator
 
@lightspeedvp
 

300 devs out of 10,000+ applications!!
It’s literally the Culling Games from JJK 

Excited go meet y’all’",11,2,55,1423,https://x.com/SoumikBaksi/status/2041213352081543597
244,HeyGen,@HeyGen,2026-04-06T17:52:10.000Z,"Video Agent takes you from a single prompt to a finished video

Today it got better. Seedance 2.0 is now built in

Your Digital Twin in cinematic shots with real motion, the kind that used to take a production team

RT + comment “VideoAgent” and we’ll DM 100 credits (must follow)",259,235,303,106883,https://x.com/HeyGen/status/2041212383205716436
245,Suno,@suno,2026-04-06T17:48:17.000Z,turn your voice into anything with Suno,12,16,99,6237,https://x.com/suno/status/2041211403780956184
246,Replit ⠕,@Replit,2026-04-06T17:34:24.000Z,Ent. Platform Product Manager Corey Wall breaks down how he addresses a common issue that all PMs face and how he and other PMs can ship faster.,6,1,34,3706,https://x.com/Replit/status/2041207911993807061
247,Replit ⠕,@Replit,2026-04-06T17:34:25.000Z,Read it on today's blog:,1,2,6,2422,https://x.com/Replit/status/2041207914606805473
248,Sydney Runkle,@sydneyrunkle,2026-04-06T17:17:36.000Z,"we're building out a community middleware page for 
@LangChain
, and we need your help growing it. 

agent middleware is one of the most powerful building blocks we've shipped. what are you building with it?",3,14,39,11369,https://x.com/sydneyrunkle/status/2041203684705468672
249,Hurley,@Johnsjawn,2026-04-06T17:01:02.000Z,"Starting a weekly series of Agents we actually use at 
@NotionHQ
. First up is ""Messaging BS Radar"". 

Drop in any doc, message, file, or image and it critiques it from a skeptical customer POV. Flags vague claims, weak differentiation, and anything that wouldn’t hold up. Then",6,6,69,11189,https://x.com/Johnsjawn/status/2041199513352978820
250,vast.ai,@vast_ai,2026-04-06T17:00:13.000Z,"GPU Market — Apr 06

H200: $2.32/hr (36 avail)
H100: $1.67/hr (39 avail)
B200: $3.81/hr (122 avail)
A100: $1.05/hr (7 avail)
RTX 5090: $0.40/hr (918 avail)
RTX 4090: $0.35/hr (484 avail)
L40S: $0.52/hr (9 avail)
RTX 3090: $0.15/hr (228 avail)

All live on Vast. Pay per second.",,,4,193,https://x.com/vast_ai/status/2041199308695867867
251,Notion,@NotionHQ,2026-04-06T16:59:20.000Z,"New: clearer visibility into your Custom Agents, so you can fine-tune them without the guesswork.

(Perfect time to experiment, they're free through May 3)",6,7,114,9103,https://x.com/NotionHQ/status/2041199084573475178
252,LangChain,@LangChain,2026-04-06T16:59:03.000Z,"Interrupt sold out last year, so don't wait: May 13-14 in San Francisco. 
https://
interrupt.langchain.com

Last year, hundreds of builders packed a room to share what's actually working in agent production. This year, we're going bigger.


@hwchase17
, 
@AndrewYNg
, 
@cj_mongodb
, are",,22,47,7110,https://x.com/LangChain/status/2041199014356402607
253,Gamma,@GammaApp,2026-04-06T16:42:53.000Z,"150+ users. A dance performance. And a rooftop party.

São Paulo is our final stop for Gamma Everywhere. Thank you to everyone who joined us on our first-ever world tour!

Mini-documentary coming soon...",,1,15,882,https://x.com/GammaApp/status/2041194945663644157
254,ToolFolio,@toolfolio,2026-04-06T16:33:05.000Z,"Vibe coding just leveled up again

Orchids just rebranded to 
@budapp
 

Positioning itself as the first AI agent with a full computer

They hit 7-figure ARR in ~6 months… and now they’re going way beyond apps/websites",1,4,6,1209,https://x.com/toolfolio/status/2041192478335013264
255,ToolFolio,@toolfolio,2026-04-06T16:33:05.000Z,Get early access:,,,1,182,https://x.com/toolfolio/status/2041192481199722713
256,Luma,@LumaLabsAI,2026-04-06T16:26:20.000Z,"From ""I have an idea"" to a full brand identity with visuals, direction, and assets. Just like that. 

Try it → 
http://
lumalabs.ai/app",10,8,60,4957,https://x.com/LumaLabsAI/status/2041190782577545726
257,fal,@fal,2026-04-06T16:12:20.000Z,"sync-3 from 
@synclabs_so
 is now live on fal!

 The next evolution in lipsync
 Multilingual & multi-character support
 Native visual intelligence, built for professional-grade video",14,28,178,30214,https://x.com/fal/status/2041187259462881387
258,fal,@fal,2026-04-06T16:12:21.000Z,Try sync-3 lipsync here!,,,5,1770,https://x.com/fal/status/2041187260670918806
259,uaghazade,@uAghazadae,2026-04-06T11:32:27.000Z,"48 hours since our 
@ProductHunt
 launch. here's the honest recap for Sleek Analytics:

 60+ new users
 15 paying customers
 $80+ MRR
 1,000+ unique visitors
 #2 Product of the Day

still processing it honestly. thank you all!",22,6,46,3683,https://x.com/uAghazadae/status/2041116824264196173
260,PlanetScale,@PlanetScale,2026-04-06T15:58:17.000Z,"In SF for HumanX?

We're throwing a happy hour with 
@inference_net
 and 
@sentry
. Food + drinks, live DJ, and great conversations with other founders and builders.

RSVP",,2,13,1989,https://x.com/PlanetScale/status/2041183720871456824
261,Cloudflare,@Cloudflare,2026-04-06T15:55:22.000Z,"From AI governance to supply-chain dependencies, the areas of greatest enterprise vulnerability are often hidden in plain sight. Explore 6 hidden fault lines in the 2026 Cloudflare Security Signals Report — and get practical insights for how to address them.",,3,16,3308,https://x.com/Cloudflare/status/2041182988512239744
262,Rapid Response,@RapidResponseHQ,2026-04-06T14:59:29.000Z,"Local journalism has never been more valuable — especially for AI companies.
 

@Cloudflare
 co-founder & CEO 
@eastdakota
 joins 
@rsafian
 to discuss how licensing local news to AI platforms can be both lucrative and beneficial to consumers.
 
Watch: 
https://
youtu.be/8vEdN-RfIMc?si
=AKRQouwmMbpRW7LF
…",,3,8,2904,https://x.com/RapidResponseHQ/status/2041168924759192038
263,Sentry,@sentry,2026-04-06T15:45:05.000Z,"If you are these three things:

- Founded in the last 2 years
- Raised less than $5M in venture capital
- New to paying for Sentry 

Then you can apply for Sentry for Startups and get $5000 in credits for free  


https://
sentry.io/for/startups/a
pply/
…",,2,9,631,https://x.com/sentry/status/2041180399594877208
264,Unsloth AI,@UnslothAI,2026-04-06T15:34:35.000Z,"You can now train and run 500+ models in our free notebook!

GitHub repo: 
https://
github.com/unslothai/unsl
oth
…
Colab Notebook: 
https://
colab.research.google.com/github/unsloth
ai/unsloth/blob/main/studio/Unsloth_Studio_Colab.ipynb
…",14,83,534,21250,https://x.com/UnslothAI/status/2041177756848083266
265,Patrick mit der TerpTorch,@TerpTorch,2026-04-05T18:59:43.000Z,"Breakthrough! 4.5 seconds from sending speech to receiving first audio. The quality of the conversation SO much better. Weeks spent banging my head against the wall, nearly all TTS systems on the planet tried out, and 
https://
github.com/resemble-ai/ch
atterbox/tree/master
… was the solution! 
@resembleai
 Thanks",,1,3,424,https://x.com/TerpTorch/status/2040866992391852358
266,Manus,@ManusAI,2026-04-06T15:05:27.000Z,"Slack Connector (MCP)
Your Automated Proxy. Triggered from the Manus web app, the Connector lets Manus search Slack, read channels, and send messages on your behalf. 

Try this prompt (in the web app):
""Every Friday at 4 PM, read the # engineering-commits channel, summarize",1,,3,2893,https://x.com/ManusAI/status/2041170424944304388
267,Manus,@ManusAI,2026-04-06T15:05:29.000Z,"Stop letting great ideas get lost in the chat. 
Read the blog on how to turn your workspace into an autonomous engine: 

https://
manus.im/blog/manus-you
r-partner-on-slack
…",,1,4,2662,https://x.com/ManusAI/status/2041170435253882949
268,Cal.com,@calcom,2026-04-06T14:30:25.000Z,"Scheduling shouldn’t force teams into rigid rules.


@calcom
 is built to adapt to how your team actually works.

From simple meetings to complex workflows, everything stays flexible.

One platform, endless ways to schedule.",,,1,173,https://x.com/calcom/status/2041161611327545360
269,Bailey Pumfleet,@pumfleet,2026-04-06T14:27:32.000Z,"hosted a watch party of our upcoming 
http://
cal.com documentary in our nyc offices

can't wait for you all to see it",1,1,6,181,https://x.com/pumfleet/status/2041160886727950510
270,Jaynti Kanani (JD),@jdkanani,2026-04-06T14:00:17.000Z,"Introducing Workflows on 
@morphic
.

You know what you want, you just don’t know how to prompt for it.

That’s what Workflows solve.

Storyboarding? Three clicks.
UGC ads? No prompting.
Color grade? In seconds.

Try now: 
http://
morphic.com/workflows

Live with 72 workflows today. More",101,625,945,1212263,https://x.com/jdkanani/status/2041154028034490867
271,Cathy Chang,@CathyChang00,2026-04-05T18:38:07.000Z,"Dario after realizing the code Claude wrote is now on GitHub with 100k stars
voice by 
@FishAudio",1,2,5,884,https://x.com/CathyChang00/status/2040861559514333331
272,Andrew Kordampalos,@ckor,2026-04-06T13:31:32.000Z,Tomorrow the world won't be the same!,,1,12,3162,https://x.com/ckor/status/2041146791777693734
273,MuleRun,@mulerun_ai,2026-04-06T14:08:30.000Z,"Computer got an update.
And… it’s starting to act a little too alive.

Now it has a persona,
reports your work progress before you ask,
runs scheduled tasks on its own,
and lives inside Telegram, Discord, and WhatsApp.

You used to open Computer to get things done.
Now Computer",5,3,13,4382,https://x.com/mulerun_ai/status/2041156096522363011
274,Runway,@runwayml,2026-04-06T14:02:40.000Z,Runaway Luggage. A short brand film that was created using just two input images and a short description of the overall idea using the Ad Concepter App. Full breakdown coming soon. Story description and input images below.,26,65,549,128802,https://x.com/runwayml/status/2041154625013711081
275,Runway,@runwayml,2026-04-06T14:02:40.000Z,"Ad Concept

""A red luggage that was never picked up from the airport carousel takes its own journey and travels around the world. At the end we hear the door buzzing and the luggage full of travel stickers and kind of beat up rolling through the entrance door.""",2,2,56,6571,https://x.com/runwayml/status/2041154627547099296
276,Runway,@runwayml,2026-04-06T14:02:41.000Z,Try the Ad Concepter App today:,,,35,5233,https://x.com/runwayml/status/2041154629879140580
277,Jaideep Prasad,@jddeep003,2026-04-06T13:42:00.000Z,"Btw I'll be at Vibecon 
@emergentlabs
 
@ycombinator
  

Excited to meet some amazing builders from across India :)
I also have 1 spot open on my team, do DM if you'd like to join in !

Reply if you'll be there, am planning for an after party at the same venue on 17th (have some",8,1,29,1828,https://x.com/jddeep003/status/2041149425104400716
278,0xngmi,@0xngmi,2026-04-06T13:27:44.000Z,,14,33,260,26571,https://x.com/0xngmi/status/2041145836357198077
279,ToolFolio,@toolfolio,2026-04-06T13:25:39.000Z,"I found a Free Open Source note taking app that Notion users are quietly switching to

Tools You Need to Know - (Day 170)",2,4,46,8580,https://x.com/toolfolio/status/2041145310312083497
280,ToolFolio,@toolfolio,2026-04-06T13:25:40.000Z,,,,4,462,https://x.com/toolfolio/status/2041145313503948942
281,Mr. Jason,@jason_coder0,2026-04-06T05:22:16.000Z,"R.I.P. GOOGLE FLIGHTS IN 2026.
R.I.P. BOOKING COM IN 2026.
R.I.P. SKYSCANNER IN 2026.

$1,190 flight. I paid $159.

Use these 7 prompts before booking your next trip : ￼

(Bookmark this  before it’s gone!)",67,71,122,8089,https://x.com/jason_coder0/status/2041023663823360242
282,Athena Gold,@Athena_Codes,2026-04-06T13:49:51.000Z,"BREAKING: AI can now create product videos like $10K/day TikTok ad agencies (for free).

Here are 9 insane Claude Opus 4.6 + Higgsfield prompts that generate 50 product videos in 4 hours:

(Save this before your competitors do)",31,72,234,16188,https://x.com/Athena_Codes/status/2041151400445718550
283,Kuria | AI,@I_amShiti,2026-04-07T03:34:01.000Z,"People are shifting from sharing code to sharing skills.

The idea is that code has become cheap and easily personalized, while skills serve as a better abstraction for guiding agents to generate that code.

In practical terms, they mean something like this:

“Just take a link to",6,9,9,26,https://x.com/I_amShiti/status/2041358810053333209
284,SureThing,@getsurething,2026-04-06T15:53:15.000Z,"Today we're launching SureThing 2.0 - the world's first General AI Agency.

You've found skills you've wanted to use for months but never knew how. Now paste the link - it becomes a proactive employee with a real GUI dashboard and live memory.

Not a chatbot. Not a terminal. An",107,186,206,179484,https://x.com/getsurething/status/2041182455168987439
285,Leonardo,@MrOnsase,2026-04-06T15:50:46.000Z,"VoxCPM 2 sets a new benchmark for open source text to speech by unifying advanced capabilities into a single model. With support for over 30 languages, infinite voice design, and studio grade 48kHz audio, it delivers both global reach and precise creative control while preserving",,14,13,3256,https://x.com/MrOnsase/status/2041181832255782986
286,@ZoAina_AI,@ZoAina_AI,2026-04-06T16:15:17.000Z,"Insane launch! SureThing 2.0 is the world's first General AI Agency. Paste any link → it becomes your proactive AI team (COO, CMO, CXO + Researcher) with GUI dashboard & live memory. No more chatbots or silos. SaaS is dead!",7,16,20,354,https://x.com/AiwithZoaina/status/2041188002031182213
287,@ZoAina_AI,@ZoAina_AI,2026-04-06T15:55:18.000Z,"VoxCPM 2 just dropped!
China’s open-source TTS beast — unified model standing tall with Qwen3-TTS.
• 30+ languages (truly global)
• Infinite voice design: type it, control whisper-to-cinematic
• Studio-grade 48kHz audio + real emotional depth
• Diffusion-AR cloning (keeps",24,25,43,1321,https://x.com/AiwithZoaina/status/2041182972502552896
288,Jay Bisen,@JayBisen473370,2026-04-04T05:58:18.000Z,"You’re wasting time on the internet…

While these 14 powerful websites are doing the work for smart people 

(Bookmark this )",70,75,250,32485,https://x.com/JayBisen473370/status/2040307957855142024
289,OpenArt,@openart_ai,2026-04-01T19:16:34.000Z,"For months..
You’ve seen glimpses.
You’ve felt it coming.

... 2.0 is dropping soon.
Any guesses?",63,270,471,1040977,https://x.com/openart_ai/status/2039421684135198895
290,Jay Bisen,@JayBisen473370,2026-04-05T03:23:36.000Z,"R.I.P. LinkedIn in 2026.
R.I.P. Upwork in 2026.
R.I.P. Indeed in 2026.

I spent 6 years applying. Just 1 interview.

My friend spent 2 hours on niche platforms.

He got 4 remote job offers instantly.

Here are 30 platforms that actually help you get hired (with details)",95,241,1100,151478,https://x.com/JayBisen473370/status/2040631410592194877
291,OpenArt,@openart_ai,2026-04-02T03:58:34.000Z,"Seedance 2.0 is live on OpenArt - for Teams & Enterprise users first. 

-Up to 9 images, 3 videos, and 3 audio files as references
-Director-level camera control
-90%+ usable output on the first attempt
-Cinematic multi-shot storytelling.
-Physics that actually holds.

60% off",294,600,876,7194094,https://x.com/openart_ai/status/2039553049560223799
292,Aakash Gupta,@aakashgupta,2026-04-07T03:28:03.000Z,"The West poured $50 billion into fast breeder nuclear reactors and abandoned every single one. India poured $900 million and just achieved criticality on the first commercially viable one outside Russia.

The US spent $15 billion. Gave up. Japan spent $12 billion. Their Monju",1,3,12,1001,https://x.com/aakashgupta/status/2041357306420777059
293,Hasan Toor,@hasantoxr,2026-04-06T12:36:16.000Z,"STANFORD UNIVERSITY compressed the entire field of LLMs and transformers into free cheatsheets anyone can use today.

It covers everything from self-attention to Flash Attention, LoRA, SFT, MoE, distillation, quantization, RAG, agents, and LLM-as-a-judge.

100% Free and Open",15,89,433,21462,https://x.com/hasantoxr/status/2041132885105950919
294,Aakash Gupta,@aakashgupta,2026-04-07T03:09:02.000Z,"This kid's nervous system is doing something most adults pay $200/hour in therapy to learn.

Ocean waves hitting skin at rhythmic intervals activate a specific class of nerve fibers called C-tactile afferents. These are low-threshold mechanoreceptors tuned to gentle, repetitive",1,8,25,2787,https://x.com/aakashgupta/status/2041352522200399966
295,Aakash Gupta,@aakashgupta,2026-04-07T03:02:02.000Z,"The packaging costs more than the earbuds inside it. And that's the entire Japan Airlines strategy in one sentence.

JAL wraps free economy earbuds in 100% plant-based biopolymer packaging and prints ""please feel free to take these earbuds with you"" on the bag. An airline that",1,3,13,4076,https://x.com/aakashgupta/status/2041350760093597868
296,Min Choi,@minchoi,2026-04-07T03:00:20.000Z,If you think AI video can't be funny then explain this.,7,4,30,2976,https://x.com/minchoi/status/2041350333859819598
297,AshutoshShrivastava,@ai_for_success,2026-04-07T02:48:02.000Z,"Google DeepMind is going to win the AI race.
They have Data, compute, distribution, and a world class research team.
On top of all that, they also have Sir Demis Hassabis.",4,5,42,2130,https://x.com/ai_for_success/status/2041347235921924528
298,Aakash Gupta,@aakashgupta,2026-04-07T02:35:03.000Z,"Every mammal on Earth gets roughly 1 billion heartbeats in a lifetime. Mice burn through theirs in 2 years. Elephants stretch theirs across 70. Humans broke the law entirely, and that's where this theory falls apart.

Kleiber's law is real. Heart rate scales as mass to the",2,3,18,4883,https://x.com/aakashgupta/status/2041343970668949832
299,Kol Tregaskes,@koltregaskes,2026-04-07T02:30:08.000Z,"Anthropic has signed a new agreement with Google and Broadcom for multiple gigawatts of next-generation TPU capacity coming online from 2027 to power frontier Claude models.

The vast majority of this compute will be based in the United States, expanding the November 2025 $50",1,,3,338,https://x.com/koltregaskes/status/2041342734355861533
300,Kol Tregaskes,@koltregaskes,2026-04-07T02:30:12.000Z,"Related to this, Epoch AI launches its AI Chip Owners explorer estimating top US hyperscalers own over 60% of global AI compute, led by Google with roughly 5M H100 equivalents.

The analysis covers cumulative chip acquisitions from 2022 to 2025 Q4 using sales data, earnings",,,,175,https://x.com/koltregaskes/status/2041342749857997121
301,Harsh Pawar,@HarshBisen143,2026-04-07T02:14:33.000Z,"YouTube is not luck. If you start now, you can earn $8000/month by June 2026.

Usually, I'd charge $83 for this guide, but today I'm giving it away 100% FREE.

Like + comment 'YT' and I'll send you the proven detailed guide for FREE.

Must follow me[
@HarshBisen143
] to get DM.",8,5,12,105,https://x.com/HarshBisen143/status/2041338809917596007
302,Nav Toor,@heynavtoor,2026-04-06T19:56:03.000Z,"SHOCKING: Apple just proved that AI models cannot do math. Not advanced math. Grade school math. The kind a 10-year-old solves.

And the way they proved it is devastating.

Apple researchers took the most popular math benchmark in AI — GSM8K, a set of grade-school math problems",501,1700,5300,811111,https://x.com/heynavtoor/status/2041243558833987600
303,Somi AI,@somi_ai,2026-04-07T02:00:02.000Z,"Your codebase as a knowledge graph you can actually query 

graphify turns code, docs, PDFs, and screenshots into a structured graph. No vector DB, no embeddings. Just graph topology with Leiden clustering. Open source, runs locally, works as a Claude Code skill.

Two-pass",1,,,25,https://x.com/somi_ai/status/2041335156569739312
304,Somi AI,@somi_ai,2026-04-07T02:00:04.000Z,"71.5x fewer tokens per query vs reading raw files on a 52-file corpus. Persistent graph.json means no reprocessing. --watch mode rebuilds as files change. Git hooks rebuild on every commit and branch switch. Exports to interactive HTML, JSON, Markdown, SVG, GraphML, and Neo4j.",1,,,14,https://x.com/somi_ai/status/2041335164899590161
305,Somi AI,@somi_ai,2026-04-07T02:00:05.000Z,"One-line install: pip install graphifyy && graphify install

Then /graphify . to process your current directory. Query concepts, trace paths between files, explain architectural decisions.

Built by 
@safishamsii

GitHub: 
http://
github.com/safishamsi/gra
phify
…

Does graph-based codebase",,,,9,https://x.com/somi_ai/status/2041335168733167703
306,Aakash Gupta,@aakashgupta,2026-04-07T01:57:14.000Z,"Do you understand what's happening right now?

Like.. actually understand it?

Two years ago, AI could complete a 14-second task on its own. One year ago, 40 minutes. Today, 14 hours. The doubling time is compressing. And nobody is pricing in what happens when you let that curve",12,4,31,17071,https://x.com/aakashgupta/status/2041334453637914652
307,Brady Long,@thisguyknowsai,2026-04-06T15:35:52.000Z,"McKinsey has been charging $500,000 for the same 10 frameworks since 1980.

Perplexity costs $20/month.

You can run the same playbook for 25,000x cheaper.

Here are 10 prompts that turn Perplexity into a McKinsey-level strategy engine:",9,28,55,8814,https://x.com/thisguyknowsai/status/2041178082611196025
308,Jay Bisen,@JayBisen473370,2026-04-07T01:35:19.000Z,"A branding agency quoted me $28,000 for a brand strategy.

Positioning statement. Messaging framework. Competitive map. Brand voice guide.

I got the SAME deliverables in 11 minutes.

Here's exactly how I did it (and the full prompt): ↓",7,11,35,115,https://x.com/JayBisen473370/status/2041328936882483297
309,Jay Bisen,@JayBisen473370,2026-04-07T01:36:16.000Z,"Here's the exact prompt I used:

""Act as a senior brand strategist. I'm building [business name], a [one-line description]. My target customer is [describe them]. My 3 main competitors are [list them]. Build me: (1) A positioning statement using the 'For X who Y, Brand Z is the",,,1,39,https://x.com/JayBisen473370/status/2041329176981172669
